sourceMappingKey,Property,Value
ar\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
bg\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
ca\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
cs\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
da\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
de\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
el\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
en-GB\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
en\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
es-MX\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
es-US\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
es\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
et\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
fi\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
fr\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
he\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
hi\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
hr\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
hu\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
id\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
it\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
ja\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
ko\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
lt\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
lv\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
ms\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
nb\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
nl\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
pl\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
pt-BR\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
pt\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
ro\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
ru\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
sk\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
sl\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
sr-Latn\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
sv\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
th\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
tr\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
uk\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
vi\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
zh-CN\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
zh-TW\highlight_window_first_time_tutorial,HighlightsFrePanel\Title,"Welcome to Highlights!"
ar\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
bg\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
ca\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
cs\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
da\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
de\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
el\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
en-GB\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
en\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
es-MX\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
es-US\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
es\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
et\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
fi\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
fr\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
he\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
hi\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
hr\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
hu\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
id\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
it\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
ja\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
ko\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
lt\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
lv\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
ms\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
nb\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
nl\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
pl\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
pt-BR\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
pt\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
ro\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
ru\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
sk\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
sl\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
sr-Latn\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
sv\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
th\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
tr\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
uk\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
vi\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
zh-CN\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
zh-TW\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
