"Code";"en - English";"et - estonian";"zh-hans - Simplified Chinese";"zh-hant - Traditional Chinese";"fr - French";"de - German";"ja - Japanese";"es - Spanish";"sv - Swedish";"pl - Polish";"pt - Portugese";"pt-BR - Portuguese (Brazil)";"ru - Russian";"ar - Arabic";"bg - Bulgarian";"cs - Czech";"da - Danish";"el - Greek";"fi - Finnish";"hu - Hungarian";"it - Italian";"he - Hebrew";"ko - Korean";"nl - Dutch";"no - Norwegian";"ro - Romanian";"tr - Turkish";"lt - Lithuanian";"lv - Latvian";"uk - Ukrainian ";"th - Thai";"id - Indonesian ";"vi - Vietnamese ";"ca - Catalan";"hr - Croatian";"sk - Slovak";"sl - Slovenian";"sr-Latn - Serbian (latin)";"hi - Hindi"
"gu";"Gujarati";"gudžarati";"古吉拉特语";"古吉拉特文";"Gujarati";"Gujarati";"グジャラート語";"Gujarati";"Gujarati";"Gudźarati";"Gujarati";"Gujarati";"Гуджарати";"الجوجاراتية";"гуджарати";"Gudžarátština";"Gujarati";"Γκουτζαράτι";"Gujarati";"Gujarati";"Gujarati";"גוז'אראטית";"구자라트어";"Gujarati";"Gujarati";"Gujarati";"Gujarati Dili";"gujarati";"gudžaratu";"Гуджараті";"คุชราตี";"Gujarati";"Tiếng Gujarati";"Gujarati";"gudžaratski";"gudžarátčina ";"gudžarati";"Gudžarati";"गुजराती"
"ha";"Hausa";"hausa";"豪萨语";"豪沙文";"Haoussa";"Haussa";"ハウサ語";"Hausa";"Hausa";"Hausa";"Haúça";"Hausa";"Хауса";"الهاوسا";"хауса";"Hausa";"Hausa";"Χάουσα";"Hausa";"Hausa";"Hausa";"הוסאית";"하우사어";"Hausa";"Hausa";"Hausa";"Hausa Dili";"hausų";"hausu";"Хауса";"เฮาซา";"Hausa";"Tiếng Hausa";"Haussa";"hausa";"hauština";"Hausa";"Hausa";"हौसा"
"he";"Hebrew";"heebrea";"希伯来语";"希伯來文";"Hébreu";"Hebräisch";"ヘブライ語";"Hebreo";"Hebreiska";"Hebrajski";"Hebraico";"Hebreu";"Иврит";"العبرية";"иврит";"Hebrejština";"Hebræisk";"Εβραϊκά";"Heprea";"Héber";"Ebraico";"עברית";"히브리어";"Hebreeuws";"Hebraisk";"Ebraică";"İbranice";"hebrajų";"senebreju";"Іврит";"ฮีบรู";"Ibrani";"Tiếng Hê-brơ";"Hebreu";"hebrejski";"hebrejčina";"hebrejščina";"Herbrejski";"हिब्रू"
"hi";"Hindi";"hindi";"印地语";"印度文";"Hindou";"Hindi";"ヒンディー語";"Hindi";"Hindi";"Hindi";"Hindi";"Hindu";"Хинди";"الهندية";"хинди";"Hindština";"Hindi";"Νεοϊνδικά";"Hindi";"Hindi";"Hindi";"הינדית";"힌두어";"Hindi";"Hindi";"Hindi";"Hintçe";"hindi";"hindi";"Гінді";"ฮินดี";"Hindi";"Tiếng Hindi";"Hindi";"hindski";"hindčina ";"hindijščina";"Hindi";"हिंदी"
"hu";"Hungarian";"ungari";"匈牙利语";"匈牙利文";"Hongrois";"Ungarisch";"ハンガリー語";"Húngaro";"Ungerska";"Węgierski";"Húngaro";"Húngaro";"Венгерский";"المجرية";"унгарски";"Maďarština";"Ungarsk";"Ουγγρικά";"Unkari";"Magyar";"Ungherese";"הונגרית";"헝가리어";"Hongaars";"Ungarsk";"Maghiară";"Macarca";"vengrų";"ungāru";"Угорська";"ฮังการี";"Magyar";"Tiếng Hung-ga-ri";"Hongarès";"mađarski";"maďarčina";"madžarščina";"Mađarski";"हंगेरियन"
"is";"Icelandic";"islandi";"冰岛语";"冰島文";"Islandais";"Isländisch";"アイスランド語";"Islandés";"Isländska";"Islandzki";"Islandês";"Islandês";"Исландский";"الأيسلندية";"исландски";"Islandština";"Islandsk";"Ισλανδικά";"Islanti";"Izlandi";"Islandese";"איסלנדית";"아이슬란드어";"IJslands";"Islandsk";"Islandeză";"İzlandaca";"islandų";"islandiešu";"Ісландська";"ไอซ์แลนด์";"Islan";"Tiếng Ai-xơ-len";"Islandès";"islandski";"islandčina";"islandščina";"Islandski";"आइसलैंडिक"
"id";"Indonesian";"indoneesia";"印度尼西亚语";"印尼文";"Indonésien";"Indonesisch";"インドネシア語";"Indonesio";"Indonesiska";"Indonezyjski";"Indonésio";"Indonês";"Индонезийский";"الإندونيسية";"индонезийски";"Indonézština";"Indonesisk";"Ινδονησιακά";"Indonesia";"Indonéz";"Indonesiano";"אינדונזית";"인도네시아어";"Indonesisch";"Indonesisk";"Indoneziană";"Endonezya Dili";"indoneziečių";"indonēziešu";"Індонезійська";"อินโดนีเซีย";"Bahasa Indonesia";"Tiếng In-đô-nê-xia";"Indonesi";"indonezijski";"indonézština";"indonezijščina";"Indonezijski";"इंडोनेशियाई"
"ia";"Interlingua";"interlingua";"国际语";"人工國際語";"Interlangue";"Interlingua";"インターリングア";"Interlingua";"Interlingua";"Interlingua";"Interlíngua";"Interlingua";"Интерлингва";"الإنترلينجوا";"интерлингва";"Interlingua";"Interlingua";"Ιντερλίνγκουα";"Interlingue";"Interlingva";"Interlingua";"אינטרלינגואה";"인터링구아";"Interlingua";"Interlingua";"Interlingua";"Interlingua";"interlingua";"interlingva";"Інтерлінгва";"นานาชาติ";"Interlingua";"Tiếng Khoa học Quốc tế";"Interlingua";"interlingua";"interlingua";"interlingua";"Interlingva";"इंटरलिंगुआ"
"iu";"Inuktitut";"inuktituti";"因纽特语";"依奴提圖特文";"Inuktitut";"Inuktitut";"イヌクティトット語";"Inuktitut";"Inuktitut";"Inuktitut";"Inuktitut";"Inuktitut";"Инуктитут";"الإنوكتيتوت";"инуктитут";"Inuktitut";"Inuktitut";"Ινούκτιτουτ";"Inuktitut";"Inuktitut";"Inuktitut";"אינוקטיטית";"이눅티투트";"Inuktitut";"Inuktitut";"Inuktitut";"Eskimoca";"inuktituto";"inuītu";"Інуктітут";"อินุกติตุต";"Inuktitut";"Tiếng Inuktitut";"Inuktitut";"inuktitut";"inuktitutčina";"inuktituščina";"Inuktitut";"इनुक्तितुत"
"ik";"Inupiak";"injupiaki";"伊努帕克语";"依奴皮維克文";"Inupik";"Inupiak";"イヌピアク語";"Inupiaq";"Iñupiaq";"Inupiak";"Inupiaq";"Inupiak";"Инупиак";"الإنوبياك";"инупиак";"Inupiak";"Inupiak";"Ινουπιάκ";"Inupiatun";"Inupiak";"Inupiak";"אינופיקית";"이누피악어";"Inupiak";"Inupiak";"Inupiak";"Inupiak Dili";"inupiakų";"inupiak";"Інупіак";"อินุปิอัก";"Inupiak";"Tiếng Inupiak";"Inupiaq";"inupiak";"inupiak";"inupiakščina";"Inupiak";"इनुपियाक"
"ga";"Irish";"iiri";"爱尔兰语";"愛爾蘭文";"Irlandais";"Irisch";"アイルランド語";"Irlandés";"Irländska";"Irlandzki";"Irlandês";"Irlandes";"Ирландский";"الإيرلندية";"ирландски";"Irština";"Irsk";"Ιρλανδικά";"Irlanti";"Ír";"Irlandese";"אירית";"아일랜드어";"Iers";"Irsk";"Irlandeză";"İrlandaca";"airių";"īru";"Ірландська";"ไอริช";"Gaelig";"Tiếng Ai-len";"Irlandès";"irski";"írčina";"irščina";"Irski";"आयरिश"
"it";"Italian";"itaalia";"意大利语";"義大利文";"Italien";"Italienisch";"イタリア語";"Italiano";"Italienska";"Włoski";"Italiano";"Italiano";"Итальянский";"الإيطالية";"италиански";"Italština";"Italiensk";"Ιταλικά";"Italia";"Olasz";"Italiano";"איטלקית";"이탈리아어";"Italiaans";"Italiensk";"Italiană";"İtalyanca";"italų";"itāļu";"Італійська";"อิตาลี";"Italia";"Tiếng Ý";"Italià";"talijanski";"taliančina";"italijanščina";"Italijanski";"इतालवी"
"ja";"Japanese";"jaapani";"日语";"日文";"Japonais";"Japanisch";"日本語";"Japonés";"Japanska";"Japoński";"Japonês";"Japonês";"Японский";"اليابانية";"японски";"Japonština";"Japansk";"Ιαπωνικά";"Japani";"Japán";"Giapponese";"יפנית";"일본어";"Japans";"Japansk";"Japoneză";"Japonca";"japonų";"japāņu";"Японська";"ญี่ปุ่น";"Jepang";"Tiếng Nhật";"Japonès";"japanski";"japončina";"japonščina";"Japanski";"जापानी"
"jw";"Javanese";"jaava";"爪哇语";"爪哇文";"Javanais";"Javanisch";"ジャワ語";"Javanés";"Javanesiska";"Jawajski";"Javanês";"Javanês";"Яванский";"الجافانية";"явански";"Javánština";"Javanesisk";"Τζαβανέζικα";"Jaava";"Jávai";"Giavanese";"יאווית";"자바어";"Javaans";"Javanesisk";"Javaneză";"Cavaca";"javiečių";"javiešu";"Яванська";"ชวา";"Jawa";"Tiếng Gia-va";"Javanès";"javanski";"jávčina";"javanščina";"Javanski";"जावानीज़"
"kn";"Kannada";"kannada";"坎纳达语";"坎那達文";"Canara";"Kannada";"カナラ語";"Kannada";"Kannada";"Kannada";"Canarim";"Kannada";"Каннада";"الكانادا";"каннада";"Kannadština";"Kannada";"Κάνναντα";"Kannada";"Kannada";"Kannada";"קאנדית";"칸나다어";"Kannada";"Kannada";"Kannada";"Kannada Dili";"kanadų";"kannadu";"Каннада";"กัณณาท";"Kannada";"Tiếng Kannada";"Kannada";"kannadski";"kannadčina";"kannadščina";"Kannada";"कन्नड़"
"ks";"Kashmiri";"kašmiiri";"克什米尔语";"喀什米爾文";"Kachméré";"Kashmiri";"カシミール語";"Cachemiro";"Kashmiri";"Kaszmirski";"Caxemirense";"Kashmiri";"Кашмирский";"الكشميرية";"кашмирски";"Kašmírština";"Kashmiri";"Κασμιριανά";"Kašmiri";"Kasmíri";"Kashmiri";"קשמירית";"카슈미르어";"Kashmiri";"Kasjmirsk";"Kashmiri";"Kaşmir";"kašmyrų";"kašmiriešu";"Кашмірська";"กัศมีรี";"Kashmiri";"Tiếng Ca-sơ-mia";"Caixmiri";"kašmirski";"kašmírčina";"kašmirščina";"Kašmiri";"कश्मीरी"
"kk";"Kazakh";"kasahhi";"哈萨克语";"哈薩克文";"Kazakh";"Kasachisch";"カザフ語";"Kazajo";"Kazakiska";"Kazachski";"Cazaque";"Kazakh";"Казахский";"الكازاخية";"казахски";"Kazaština";"Kazakh";"Καζαχικά";"Kazakki";"Kazahi";"Kazako";"קזאקית";"카자흐어";"Kazachs";"Kasakh";"Kazahă";"Kazak Dili";"kazachų";"kazahu";"Казахська";"คาซัค";"Kazak";"Tiếng Kazakh";"Kazakh";"kazaški";"kazaština";"kazaščina";"Kazaški";"कज़ाख़"
"rw";"Kinyarwanda";"kinyarwanda";"卢旺达语";"金揚萬答文";"Kinyarwanda";"Ruandisch";"キニャルワンダ語";"Kinyarwanda";"Kinyarwanda";"Kinyarwanda";"Kinyarwanda";"Kinyarwanda";"Киньяруанда";"كينيا رواندا";"киняруанда";"Rwandština";"Kinyarwanda";"Kινυαρουάντα";"Ruanda";"Kinyarwanda";"Kinyarwanda";"קינירוונדה";"키냐르완다어";"Kinyarwanda";"Kinyarwanda";"Kinyarwanda";"Kinyarvanda Dili";"kinjaruanda";"kiņaruanda";"Кіньяруанда";"คินยาร์วันดา";"Kinyarwanda";"Tiếng Kinyarwanda";"Kinyarwanda";"kinyarwanda";"rwandčina";"kinjaruandščina";"Ruanda";"कीनियारवांडा"
"ky";"Kirghiz";"kirgiisi";"吉尔吉斯语";"吉爾吉斯文";"Kirghiz";"Kirgisisch";"キルギス語";"Kirguís";"Kirgiziska";"Kirgiski";"Quirguiz";"Kirghiz";"Киргизский";"قيرقيزية";"киргизки";"Kirgizština";"Kirghiz";"Κιργιζικά";"Kirgiisi";"Kirgíz";"Kirghiz";"קירגיזית";"키르기스어";"Kirgisch";"Kirgisisk";"Kârgâză";"Kırgızca";"kirgizų";"kirgīzu";"Киргизька";"เคอร์กิซ";"Kirghiz";"Tiếng Kirghiz";"Kirguís";"kirgiški";"kirgizština";"kirgiščina";"Kirgiski";"किरघिज़"
"rn";"Kirundi";"rundi";"基隆迪语";"科隆地文";"Kiroundi";"Kirundi";"キルンディ語";"Kirundi";"Kirundi";"Kirundi";"Kirundi";"Kirundi";"Кирунди";"الكيروندية";"кирунди";"Kirundi";"Kirundi";"Κιρούντι";"Kirundi";"Kirundi";"Kirundi";"קירונדית";"키룬디어";"Kirundi";"Kirundi";"Kirundi";"Kirundi Dili";"kirundi";"kirundi";"Кірундійська";"คิรุนดี";"Kirundi";"Tiếng Kirundi";"Rundi";"kirundi";"kirundi";"kirundščina";"Kirundi";"किरूंडी"
"ko";"Korean";"korea";"韩语";"韓文";"Coréen";"Koreanisch";"韓国語";"Coreano";"Koreanska";"Koreański";"Coreano";"Coreano";"Корейский";"الكورية";"корейски";"Korejština";"Koreansk";"Κορεάτικα";"Korea";"Koreai";"Coreano";"קוריאנית";"한국어";"Koreaans";"Koreansk";"Coreeană";"Korece";"korėjiečių";"korejiešu";"Корейська";"เกาหลี";"Korea";"Tiếng Hàn Quốc";"Coreà";"korejski";"kórejčina";"korejščina";"Korejski";"कोरियाई"
"ku";"Kurdish";"kurdi";"库尔德语";"庫德文";"Kurde";"Kurdisch";"クルド語";"Kurdo";"Kurdiska";"Kurdyjski";"Curdo";"Kurdish";"Курдский";"الكردية";"кюрдски";"Kurdština";"Kurdisk";"Κουρδικά";"Kurdi";"Kurd";"Curdo";"כורדית";"쿠르드어";"Koerdisch";"Kurdisk";"Kurdă";"Kürtçe";"kurdų";"kurdu";"Курдська";"เคิร์ด";"Kurdi";"Tiếng Kurd";"Kurd";"kurdski";"kurdčina";"kurdščina";"Kurdski";"कुर्दिश"
"lo";"Laothian";"lao";"老挝语";"寮文";"Laotien";"Laotisch";"ラオス語";"Lao";"Lao";"Laotański";"Laosiano";"Laociano";"Лаосский";"اللاوسية";"лаоски";"Laoština";"Laotisk";"Λαοθιανά";"Lao";"Laoszi";"Lao";"לאואית";"라오타이어";"Laothiaans";"Laotisk";"Laoţiană";"Lao Dili";"laosiečių";"laosiešu";"Лаоська";"ลาว";"Lao";"Tiếng Lào";"Laosià";"laoski";"laoština";"laoščina";"Laoski";"लाओथियन"
"la";"Latin";"ladina";"拉丁语";"拉丁文";"Latin";"Lateinisch";"ラテン語";"Latín";"Latin";"Łacina";"Latim";"Latim";"Латинский";"اللاتينية";"латински";"Latina";"Latin";"Λατινικά";"Latina";"Latin";"Latino";"לטינית";"라틴어";"Latijns";"Latinsk";"Latină";"Latince";"lotynų";"latīņu";"Латинська";"ละติน";"Latin";"Tiếng La Tinh";"Llatí";"latinski";"latinčina";"latinščina";"Latinski";"लैटिन"
"lv";"Latvian";"läti";"拉脱维亚语";"拉脫維亞文";"Letton";"Lettisch";"ラトビア語";"Letón";"Lettiska";"Łotewski";"Letão";"Latviano";"Латышский";"اللاتفية";"латвийски";"Lotyština";"Lettisk";"Λετονικά";"Latvia";"Lett";"Lettone";"לטבית";"라트비아어";"Lets";"Latvisk";"Letonă";"Latviya dili";"latvių";"latviešu";"Латиська";"ลัตเวีย";"Latvi";"Tiếng Latvian";"Letó";"latvijski";"lotyština";"latvijščina";"Letonski";"लातवियाई"
"ln";"Lingala";"lingala";"林加拉语";"陵加拉文";"Lingala";"Lingala";"リンガラ語";"Lingala";"Lingala";"Lingala";"Lingala";"Lingala";"Лингала";"اللينغالا";"лингала";"Lingala";"Lingala";"Λινγκάλα";"Lingala";"Lingala";"Lingala";"לינגולית";"링갈라어";"Lingala";"Lingala";"Lingala";"Lingala";"lingala";"lingala";"Лінгала";"ลิงกาลา";"Lingala";"Tiếng Lingala";"Lingala";"lingala";"lingala";"lingalščina";"Lingala";"लिंगाला"
"lt";"Lithuanian";"leedu";"立陶宛语";"立陶宛文";"Lituanien";"Litauisch";"リトアニア語";"Lituano";"Litauiska";"Litewski";"Lituano";"Lituânio";"Литовский";"الليتوانية";"литовски";"Litevština";"Litauisk";"Λιθουανικά";"Liettua";"Litván";"Lituano";"ליטאית";"리투아니아어";"Litouws";"Litauisk";"Lituaniană";"Litvanya dili";"lietuvių";"lietuviešu";"Литовська";"ลิทัวเนีย";"Lituavi";"Tiếng Lát-vi";"Lituà";"litavski";"litovčina";"litovščina";"Litvanski";"लिथुआनियाई"
"mk";"Macedonian";"makedoonia";"马其顿语";"馬其頓文";"Macédonien";"Mazedonisch";"マケドニア語";"Macedonio";"Makedonska";"Macedoński";"Macedónio";"Macedônio";"Македонский";"المقدونية";"македонски";"Makedonština";"Makedonisk";"Μακεδονικά";"Makedonia";"Macedón";"Macedone";"מקדונית";"마케도니아어";"Macedonisch";"Makedonsk";"Macedoneană";"Makedonca";"makedonų";"maķedoniešu";"Македонська";"มาซิโดเนีย";"Makedonia";"Tiếng Maxêđôni";"Macedònic";"makedonski";"macedónčina";"makedonščina";"Makedonski";"मेसीडोनियन"
"mg";"Malagasy";"malagassi";"马拉加斯语";"馬達加斯加文";"Malgache";"Madagassisch";"マラガシ語";"Malgache";"Malagassiska";"Malgaski";"Malgaxe";"Malagasiano";"Малагасийский";"المالاجية";"малгашки";"Malgaština";"Malagassisk";"Μαλγασικά";"Malagasi";"Madagaszkári";"Malgascio";"מלגשית";"마다가스카르어";"Malagasi";"Gassisk";"Malgaşă";"Malagaşça";"malagasių";"malagiešu";"Малагасійська";"มาลากาซี";"Malagasi";"Tiếng Malagasy";"Malgaix";"malagaški";"malgaština";"malagazijščina";"Malagaški";"मेलेगसी"
"ms";"Malay";"malai";"马来语";"馬來文";"Malais";"Malaiisch";"マレー語";"Malayo";"Malajiska";"Malajski";"Malaio";"Malaia";"Малайский";"المالاي";"малайски";"Malajština";"Malay";"Μαλαισιανά";"Malaiji";"Maláj";"Malese";"מלאית";"말레이어";"Maleisisch";"Malayisk";"Malaeză";"Malayca";"malajiečių";"malajiešu";"Малайська";"มลายู";"Bahasa Malaysia";"Tiếng Mã Lai";"Malai";"malajski";"malajčina";"malajščina";"Malajski";"मलय"
"ml";"Malayalam";"malajalami";"马来亚拉姆语";"馬來亞拉姆文";"Malayalam";"Malajalam";"マラヤーラム語";"Malabar";"Malayalam";"Malayalam";"Malaiala";"Malaialão";"Малаялам";"المالايالام";"малаялам";"Malajálamština";"Malayalam";"Μαλαγιάλαμ";"Malajalam";"Malayalam";"Malayalam";"מליאלאמית";"말라얄람어";"Malayalam";"Malayalam";"Malayalam";"Malayalam Dili";"malajalių";"malajalam";"Малайяма";"มาลายาลัม";"Malayalam";"Tiếng Malayalam";"Malaiàlam";"malajalamski";"malajalámčina";"malajalamščina";"Malajalam";"मलयालम"
"mt";"Maltese";"malta";"马耳他语";"馬爾他文";"Maltais";"Maltesisch";"マルタ語";"Maltés";"Maltesiska";"Maltański";"Maltês";"Maltês";"Мальтийский";"المالطية";"малтийски";"Maltština";"Maltesisk";"Μαλτέζικα";"Malta";"Máltai";"Maltese";"מלטזית";"몰타어";"Maltees";"Maltesisk";"Malteză";"Malta Dili";"maltiečių";"maltiešu";"Мальтійська";"มอลตา";"Malta";"Tiếng Mantơ";"Maltès";"malteški";"maltčina";"malteščina";"Malteški";"माल्टीज़"
"mi";"Maori";"maoori";"毛利语";"毛利文";"Maori";"Maori";"マオリ語";"Maorí";"Maori";"Maoryski";"Maori";"Maori";"Маори";"الماورية";"маорски";"Maorština";"Maorisk";"Μαορί";"Maori";"Maori";"Maori";"מאורית";"마오리어";"Maori";"Maorisk";"Maori";"Maori Dili";"maorių";"maoru";"Маорі";"เมารี";"Maori";"Tiếng Maori";"Maori";"maorski";"maorijčina";"maorščina";"Maorski";"माओरी"
"mr";"Marathi";"marathi";"马拉地语";"馬拉提文";"Marathi";"Marati";"マラーティー語";"Maratí";"Marathi";"Marathi";"Marati";"Marati";"Маратхи";"الماراتية";"маратхи";"Maráthí";"Marathi";"Μαράθι";"Marathi";"Maráthi";"Marathi";"מראטהית";"마라티어";"Marathi";"Marathi";"Marathi";"Marathi Dili";"marathų";"marati";"Маратхі";"มาราติ";"Marathi";"Tiếng Marathi";"Marathi";"marathski";"maráthčina";"maratščina";"Marathi";"मराठी"
"mo";"Moldavian";"moldaavia";"摩尔多瓦语";"摩爾多瓦文";"Moldave";"Moldauisch";"モルダビア語";"Moldavo";"Moldaviska";"Mołdawski";"Moldavo";"Moldavian";"Молдавский";"المولدوفية";"молдовски";"Moldavština";"Moldavisk";"Μολδαβικά";"Moldova";"Moldvai";"Moldavo";"מולדבית";"몰다비아어";"Moldavisch";"Moldovsk";"Moldovenească";"Moldovyaca";"moldavų";"moldāvu";"Молдавська";"มอลดาเวีย";"Moldavia";"Tiếng Moldavian";"Moldau";"moldavski";"moldavčina";"moldavščina";"Moldavski";"मोलदावियन"
"mn";"Mongolian";"mongoolia";"蒙古语";"蒙古文";"Mongol";"Mongolisch";"モンゴル語";"Mongol";"Mongoliska";"Mongolski";"Mongol";"Mongoliano";"Монгольский";"المنغولية";"монголски";"Mongolština";"Mongolsk";"Μογγολικά";"Mongolia";"Mongol";"Mongolo";"מונגולית";"몽골어";"Mongolisch";"Mongolsk";"Mongolă";"Moğolca";"mongolų";"mongoļu";"Монгольська";"มองโกเลีย";"Mongol Khalkha";"Tiếng Mông Cổ";"Mongol";"mongolski";"mongolčina";"mongolščina";"Mongolski";"मंगोलियाई"
"na";"Nauru";"nauru";"瑙鲁语";"諾魯文";"Nauru";"Nauru";"ナウル語";"Nauruano";"Nauru";"Nauru";"Nauruano";"Nauru";"Науру";"ناورو";"науруански";"Naurština";"Nauru";"Ναουρού";"Nauru";"Nauru";"Nauru";"נאורוית";"나우루어";"Nauru";"Nauru";"Nauru";"Nauruca";"nauriečių";"nauru";"Науру";"นาอูรู";"Nauru";"Tiếng Nauru";"Nauruà";"nauruški";"nauru";"nauru";"Nauruanski";"नॉरू"
"ne";"Nepali";"nepaali";"尼泊尔语";"尼泊爾文";"Népalais";"Nepalesisch";"ネパール語";"Nepalí";"Nepali";"Nepalski";"Nepali";"Nepalês";"Непальский";"النيبالية";"непалски";"Nepálština";"Nepali";"Νεπαλικά";"Nepali";"Nepáli";"Nepalese";"נפלית";"네팔어";"Nepalees";"Nepali";"Nepaleză";"Nepal Dili";"nepalų";"nepāļu";"Непальська";"เนปาล";"Nepali";"Tiếng Nê-pan";"Nepalès";"nepalski";"nepálčina";"nepalščina";"Nepalski";"नेपाली"
"no";"Norwegian";"norra";"挪威语";"挪威文";"Norvégien";"Norwegisch";"ノルウェー語";"Noruego";"Norska";"Norweski";"Norueguês";"Norueguês";"Норвежский";"النرويجية";"норвежки";"Norština";"Norsk";"Νορβηγικά";"Norja";"Norvég";"Norvegese";"נורבגית";"노르웨이어";"Noors";"Norsk";"Norvegiană";"Norveççe";"norvegų";"norvēģu";"Норвезька";"นอร์เวย์";"Norsk";"Tiếng Na-uy";"Noruec";"norveški";"nórčina";"norveščina";"Norveški";"नार्वेजियन"
"oc";"Occitan";"provansi";"欧西坦语";"奧西坦文";"Occitan";"Okzitanisch";"オクシタン語";"Occitano";"Occitanska";"Oksytański";"Occitânico";"Occitan";"Окситанский";"الأوكيتانية";"окситански";"Okcitánština";"Occitan";"Οξιτανικά";"Oksitaani";"Okcitán";"Occitano";"אוקיטנית";"옥시탄어";"Occitan";"Oksitansk";"Occitană";"Occitan Dili";"očitarų";"oksitāņu";"Окситанська";"ออกซิตัน";"Occitan";"Tiếng Occitan";"Occità";"okcitanski";"okcitánčina";"okcitanščina";"Oksitanski";"ऑक्सिटन"
"or";"Oriya";"oria";"奥里雅语";"歐利亞文";"Oriya";"Orija";"オリヤー語";"Oriya";"Oriya";"Orija";"Oria";"Oriya";"Ория";"الأوريا";"ория";"Urijština";"Oriya";"Ορίγια";"Orija";"Oriya";"Oriya";"אוריאית";"오리야어";"Oriya";"Oriya";"Oriya";"Oriya Dili";"orijų";"oriju";"Орія";"โอริยา";"Oriya";"Tiếng Oriya";"Oriya";"orijski";"uríjčina";"orija";"Orija";"उड़िया"
"om";"Oromo";"oroomo";"奥罗莫语";"奧羅蒙文";"Oromo";"Oromo";"オロモ語";"Oromo";"Oromo";"Oromo";"Oromo";"Oromo";"Оромо";"الأورومو";"оромо";"Oromo";"Oromo";"Ορόμο";"Oromo";"Oromo";"Oromo";"אורומית";"오로모어";"Oromo";"Oromo";"Oromo";"Oromo Dili";"oromų";"oromo";"Оромо";"โอโรโม";"Oromo";"Tiếng Oromo";"Oromo";"oromo";"oromo";"oromščina";"Oromo";"ओरोमो"
"ps";"Pashto";"puštu";"普什图语";"普什圖文";"Pachto";"Paschtu";"パシュトー語";"Pashto";"Pashto";"Paszto";"Pastó";"Pashto";"Пушту";"الباشتو";"пущунски";"Paštština";"Pashto";"Πάστο";"Pasto";"Pashto";"Pashto";"פאשטואית";"파슈토어";"Pashto";"Pashto";"Pashtu";"Afganca";"puštūnų";"pašto";"Пушту";"พาชตู";"Pashto";"Tiếng Pashto";"Paixtu";"pašto";"paštčina";"paštunščina";"Paštunski";"पश्तो"
"fa";"Persian";"pärsia";"波斯语";"波斯文";"Persan";"Persisch";"ペルシア語";"Persa";"Persiska";"Perski";"Persa";"Pérsico";"Персидский";"الفارسية";"персийски";"Perština";"Persisk";"Περσικά";"Persia";"Perzsa";"Persiano";"פרסית";"페르시아어";"Perzisch";"Persisk";"Persană";"Farsça";"persų";"persiešu";"Перська (Фарсі)";"เปอร์เซีย";"Farsi";"Tiếng Ba Tư";"Persa";"perzijski";"perzština";"perzijščina	";"Persijski";"फ़ारसी"
"pl";"Polish";"poola";"波兰语";"波蘭文";"Polonais";"Polnisch";"ポーランド語";"Polaco";"Polska";"Polski";"Polaco";"Polonês";"Польский";"البولندية";"полски";"Polština";"Polsk";"Πολωνικά";"Puola";"Lengyel";"Polacco";"פולנית";"폴란드어";"Pools";"Polsk";"Poloneză";"Polonyaca";"lenkų";"poļu";"Польська";"โปแลนด์";"Polski";"Tiếng Ba Lan";"Polonès";"poljski";"poľština";"poljščina";"Poljski";"पोलिश"
"pt";"Portuguese";"portugali";"葡萄牙语";"葡萄牙文";"Portugais";"Portugiesisch";"ポルトガル語";"Portugués";"Portugisiska";"Portugalski";"Português";"Português";"Португальский";"البرتغالية";"португалски";"Portugalština";"Portugisisk";"Πορτογαλικά";"Portugali";"Portugál";"Portoghese";"פורטוגזית";"포르투갈어";"Portugees";"Portugisisk";"Portugheză";"Portekizce";"portugalų";"portugāļu";"Португальська";"โปรตุเกส";"Portugis";"Tiếng Bồ Đào Nha";"Portuguès";"portugalski";"portugalčina";"portugalščina";"Portugalski";"पुर्तगाली"
